,level_0,index,series_name,network,season,title,imdb,engagement,date_aired,década,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
21,20,21,"Scooby Doo, Where Are You!",CBS,2,"Jeepers, It's the Creeper",7.2,225.27,10/3/1970,1961-1970,21,Serie,Creeper,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Rural,United States,2,FALSE,TRUE,Mr. Carswell,Male,1,Theft,,,TRUE,1,0,0,0,0,0,1,0,7,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
22,21,22,"Scooby Doo, Where Are You!",CBS,2,Haunted House Hang-Up,5.5,205.67,10/10/1970,1961-1970,21,Serie,Headless Specter,Male,Ghost,Headless,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,United States,1,TRUE,FALSE,Penrod Stillwall,Male,1,Treasure,you snoopers,,FALSE,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
23,22,23,"Scooby Doo, Where Are You!",CBS,2,A Tiki Scare Is No Fair,3.2,119.51,10/17/1970,1961-1970,21,Serie,"Witch Doctor,Mano Tiki Tia","Female,Male","Ancient,Possessed Object","Witch Doctor,Statue","Human,Object",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jungle,Hawaii,1,FALSE,TRUE,John Simms,Male,1,Theft,,,FALSE,1,0,1,1,0,0,0,0,6,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
24,23,24,"Scooby Doo, Where Are You!",CBS,2,Who's Afraid of the Big Bad Werewolf?,5.3,188.38,10/24/1970,1961-1970,21,Serie,Werewolf,Male,Animal,Werewolf,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,United States,0,TRUE,TRUE,Sheep Rustler,Male,1,Smuggling,,,FALSE,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
25,24,25,"Scooby Doo, Where Are You!",CBS,2,Don't Fool with a Phantom,5.2,177.33,10/31/1970,1961-1970,21,Serie,Wax Phantom,Male,Ghost,Statue,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,3,FALSE,TRUE,Mr. Rodger Stevens,Male,1,Theft,,,FALSE,1 box,0,0,1,0,0,0,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
26,25,26,The New Scooby-Doo Movies,CBS,1,The Ghastly Ghost Town,5.7,181.47,9/9/1972,1971-1980,43,Serie,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus","Bat,Human,Human,Robot,Cactus",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Desert,United States,2,FALSE,TRUE,"Rhino,Amos Crunch","Male,Male",2,Natural Resource,,,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
27,26,27,The New Scooby-Doo Movies,CBS,1,The Dynamic Scooby-Doo Affair,4.5,164.31,9/16/1972,1971-1980,41,Serie,"Hooded Man,Skeletons","Male,Male","Disguised,Skeleton","Hooded,Humaniod","Human,Human",FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Rural,United States,1,FALSE,TRUE,Mrs. Baker,Female,1,Counterfeit,that dumb dog,,FALSE,3,0,0,0,0,0,1,0,3,0,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
28,27,28,The New Scooby-Doo Movies,CBS,1,Wednesday Is Missing,5.9,195.57,9/23/1972,1971-1980,41,Serie,The Vulture,Female,Animal,Bird,Vulture,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Forest,United States,2,FALSE,FALSE,House Keeping Couple,"Male,Female",2,Safety,,,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
29,28,29,The New Scooby-Doo Movies,CBS,1,The Frickert Fracas,5.6,168.91,9/30/1972,1971-1980,43,Serie,Scarecrow,Male,Possessed Object,Scarecrow,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,United States,4,FALSE,TRUE,Simon Shakey,Male,1,Treasure,,,TRUE,0,0,0,0,1,1,0,0,9,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
30,29,30,The New Scooby-Doo Movies,CBS,1,Guess Who's Knott Coming to Dinner?,4,148.58,10/7/1972,1971-1980,43,Serie,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Forest,United States,1,TRUE,TRUE,"Captain Moody's Nephews,Captain Moody's Nephews","Male,Male",2,Inheritance,,,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
